Vrai,Predit
-1.0212421417236328,-0.4397776126861572
-0.8060792088508606,-0.8706908822059631
-0.9186521172523499,-0.9511706233024597
-0.8094958662986755,-0.9678462743759155
-0.7437703609466553,-0.9033843278884888
-0.9766382575035095,-0.8297292590141296
-0.917837917804718,-0.8932340741157532
-0.837959885597229,-0.908835232257843
-0.9261283874511719,-0.88090580701828
-0.9447124600410461,-0.9009485840797424
-0.9940052032470703,-0.9208976626396179
-0.6753507852554321,-0.9501532912254333
-1.0604422092437744,-0.8320460319519043
-0.917410671710968,-0.9270288944244385
-0.8390807509422302,-0.9280608296394348
-0.8306471109390259,-0.892619788646698
-0.6993071436882019,-0.868633508682251
-0.8001747727394104,-0.799826443195343
-0.9746321439743042,-0.8085575103759766
-0.7771985530853271,-0.8916741013526917
-0.9019905924797058,-0.85610431432724
-0.7042465806007385,-0.8836936950683594
-0.9423651695251465,-0.8154125213623047
-0.6974978446960449,-0.8779979348182678
-0.6425552368164062,-0.8124043941497803
-0.846996545791626,-0.7462450861930847
-0.8302499055862427,-0.8048705458641052
-0.646019697189331,-0.835986852645874
-0.9502381682395935,-0.7689991593360901
-0.9242510795593262,-0.8605685234069824
